city,state,zip,county,homeValue
Chesapeake,VA,23320,Chesapeake City,303766
Richmond,KY,40475,Madison County,221996
Hagerstown,MD,21740,Washington County,218816
San Diego,CA,92101,San Diego County,718341
Los Angeles,CA,90019,Los Angeles County,1337366
Clermont,FL,34711,Lake County,339102
Loganville,GA,30052,Gwinnett County,299960
Columbia,TN,38401,Maury County,277069
Houston,TX,77095,Harris County,278392
Bayonne,NJ,7002,Hudson County,454876
Cumming,GA,30041,Forsyth County,475910
Des Plaines,IL,60016,Cook County,298313
Hallandale,FL,33009,Broward County,239682
Fremont,CA,94536,Alameda County,1335769
Henderson,NV,89052,Clark County,526360
Broken Arrow,OK,74012,Tulsa County,200090
New York,NY,10457,Bronx County,359259
Greeley,CO,80634,Weld County,418333
Hilliard,OH,43026,Franklin County,305153
Temecula,CA,92592,Riverside County,650891
Gahanna,OH,43230,Franklin County,280345
Las Vegas,NV,89117,Clark County,413176
Smyrna,GA,30080,Cobb County,374882
Washington,DC,20001,District of Columbia,756177
Greenville,NC,27834,Pitt County,140235
South Gate,CA,90280,Los Angeles County,571292
Lexington,SC,29072,Lexington County,272764
Indianapolis,IN,46227,Marion County,196528
Jacksonville,FL,32244,Duval County,217795
Owings Mills,MD,21117,Baltimore County,322591
New York,NY,10027,New York County,654688
Philadelphia,PA,19111,Philadelphia County,254296
Bell,CA,90201,Los Angeles County,560255
Rancho Cucamonga,CA,91730,San Bernardino County,578618
Ann Arbor,MI,48103,Washtenaw County,435859
New York,NY,11236,Kings County,587515
Dallas,TX,75206,Dallas County,493939
Los Angeles,CA,90004,Los Angeles County,1577896
Murfreesboro,TN,37128,Rutherford County,332849
San Diego,CA,92109,San Diego County,1233849
Marietta,GA,30062,Cobb County,430114
Chicago,IL,60628,Cook County,147852
West New York,NJ,7093,Hudson County,363028
Orlando,FL,32822,Orange County,237047
Atlanta,GA,30331,Fulton County,239352
Dallas,TX,75217,Dallas County,177351
Plymouth,MA,2360,Plymouth County,493053
Port Saint Lucie,FL,34953,Saint Lucie County,309342
Murfreesboro,TN,37130,Rutherford County,279959
The Crossings,FL,33186,Miami-Dade County,378337
Medford,MA,2155,Middlesex County,724748
Yonkers,NY,10701,Westchester County,565228
Hialeah,FL,33012,Miami-Dade County,296475
Los Angeles,CA,91342,Los Angeles County,690307
Bellflower,CA,90706,Los Angeles County,645496
Fontana,CA,92335,San Bernardino County,473248
San Jose,CA,95123,Santa Clara County,1211353
El Cajon,CA,92021,San Diego County,666049
Ormond Beach,FL,32174,Volusia County,317862
Alexandria,VA,22304,Alexandria City,415960
Albuquerque,NM,87121,Bernalillo County,209151
New York,NY,11372,Queens County,419776
Woodbridge,VA,22193,Prince William County,419496
Simi Valley,CA,93065,Ventura County,748972
Greenville,NC,27858,Pitt County,197282
Findlay,OH,45840,Hancock County,181564
Chicago,IL,60649,Cook County,180761
Margate,FL,33063,Broward County,238130
Durham,NC,27703,Durham County,305908
Virginia Beach,VA,23454,Virginia Beach City,359110
Chicago,IL,60626,Cook County,245182
Pompano Beach,FL,33064,Broward County,279565
Westland,MI,48185,Wayne County,190721
Costa Mesa,CA,92627,Orange County,1078003
Miramar,FL,33027,Broward County,364699
Tucson,AZ,85705,Pima County,219729
Fort Lauderdale,FL,33311,Broward County,270372
Monroe Township,NJ,8831,Middlesex County,441890
Ashburn,VA,20147,Loudoun County,641880
Parma Heights,OH,44130,Cuyahoga County,187916
Los Angeles,CA,90025,Los Angeles County,1135409
Gaithersburg,MD,20878,Montgomery County,627363
Columbus,OH,43228,Franklin County,182710
Johns Creek,GA,30022,Fulton County,511401
Milton,GA,30004,Fulton County,554296
Hampton,VA,23666,Hampton City,231958
Queen Creek,AZ,85142,Pinal County,479693
Vancouver,WA,98682,Clark County,439707
Milpitas,CA,95035,Santa Clara County,1288554
Chino,CA,91710,San Bernardino County,647969
Los Angeles,CA,90011,Los Angeles County,539422
Richmond,VA,23223,Richmond City,220583
New York,NY,11218,Kings County,632515
Durham,NC,27713,Durham County,345440
Houston,TX,77082,Harris County,222730
Painesville,OH,44077,Lake County,192775
Hayward,CA,94544,Alameda County,839246
Zanesville,OH,43701,Muskingum County,135283
Rock Hill,SC,29730,York County,217665
New York,NY,11223,Kings County,829223
Chicago,IL,60622,Cook County,564190
Mount Pleasant,SC,29464,Charleston County,603332
Chicago,IL,60616,Cook County,383176
Kernersville,NC,27284,Forsyth County,240600
Hoover,AL,35242,Jefferson County,428668
Fargo,ND,58103,Cass County,213911
Aurora,CO,80015,Arapahoe County,517789
Washington,DC,20019,District of Columbia,431403
Rochester,MN,55901,Olmsted County,273937
New York,NY,10021,New York County,1240897
Fort Collins,CO,80525,Larimer County,505892
Powder Springs,GA,30127,Cobb County,290206
Eugene,OR,97402,Lane County,356095
Lauderhill,FL,33313,Broward County,125595
Hot Springs,AR,71913,Garland County,213516
Los Angeles,CA,90027,Los Angeles County,1777212
Franklin,TN,37064,Williamson County,624516
Gallatin,TN,37066,Sumner County,346166
Seattle,WA,98115,King County,1004656
Bowling Green,KY,42101,Warren County,154637
Fresno,CA,93727,Fresno County,356141
Dublin,CA,94568,Alameda County,1221647
Philadelphia,PA,19124,Philadelphia County,151462
Santa Clara,CA,95051,Santa Clara County,1642479
Los Angeles,CA,91335,Los Angeles County,741504
Vacaville,CA,95687,Solano County,548116
Orlando,FL,32828,Orange County,370630
Jacksonville,FL,32225,Duval County,310286
Fort Worth,TX,76116,Tarrant County,260884
Los Angeles,CA,90731,Los Angeles County,754487
College Station,TX,77840,Brazos County,221226
Houston,TX,77007,Harris County,459137
Scottsdale,AZ,85251,Maricopa County,504839
Virginia Beach,VA,23452,Virginia Beach City,298306
Mesquite,TX,75150,Dallas County,227610
McDonough,GA,30253,Henry County,255888
